INSERT INTO PRODUZIONE (MINUTAGGIO, COD_REGISTA) VALUES
(46, 796),
(38, 866),
(53, 58),
(40, 723),
(33, 747),
(75, 702),
(44, 635),
(46, 835),
(66, 250),
(58, 194),
(27, 162),
(75, 595),
(67, 905),
(62, 961),
(33, 795),
(53, 901),
(73, 751),
(71, 1030),
(58, 364),
(22, 674),
(62, 221),
(24, 938),
(58, 874),
(20, 461),
(69, 94),
(37, 251),
(56, 630),
(80, 976),
(54, 357),
(43, 804),
(61, 911),
(38, 124),
(43, 55),
(44, 923),
(25, 897),
(61, 868),
(30, 143),
(49, 880),
(61, 962),
(20, 907),
(48, 800),
(27, 61),
(40, 397),
(70, 420),
(68, 981),
(40, 528),
(36, 206),
(40, 636),
(78, 241),
(64, 633),
(25, 212),
(35, 547),
(44, 209),
(67, 288),
(72, 372),
(73, 579),
(66, 675),
(64, 701),
(70, 141),
(70, 482),
(48, 103),
(67, 607),
(21, 785),
(29, 1009),
(49, 837),
(79, 16),
(68, 97),
(47, 462),
(39, 258),
(46, 852),
(20, 923),
(28, 676),
(26, 619),
(63, 557),
(55, 918),
(56, 674),
(35, 41),
(71, 946),
(80, 728),
(62, 959),
(26, 551),
(45, 112),
(27, 823),
(37, 941),
(45, 582),
(28, 145),
(36, 756),
(40, 521),
(80, 413),
(46, 853),
(40, 684),
(47, 508),
(54, 843),
(48, 109),
(75, 834),
(37, 815),
(71, 795),
(45, 554),
(24, 659),
(25, 975),
(79, 16),
(45, 445),
(77, 516),
(63, 49),
(64, 376),
(20, 77),
(73, 299),
(61, 254),
(23, 12),
(56, 727),
(54, 857),
(63, 152),
(78, 864),
(23, 644),
(32, 12),
(64, 480),
(44, 652),
(59, 406),
(77, 340),
(29, 1),
(63, 194),
(22, 706),
(77, 13),
(58, 574),
(50, 961),
(28, 57),
(55, 470),
(77, 191),
(49, 844),
(47, 924),
(32, 710),
(38, 444),
(52, 220),
(53, 886),
(77, 583),
(49, 929),
(36, 429),
(25, 868),
(42, 284),
(49, 5),
(59, 772),
(42, 444),
(80, 303),
(25, 283),
(37, 937),
(45, 682),
(44, 445),
(21, 819),
(65, 861),
(49, 720),
(26, 882),
(71, 125),
(54, 22),
(43, 99),
(42, 207),
(55, 918),
(36, 851),
(75, 120),
(53, 914),
(37, 231),
(50, 809),
(24, 544),
(73, 978),
(45, 432),
(56, 844),
(67, 972),
(46, 728),
(53, 558),
(30, 221),
(53, 957),
(58, 159),
(77, 223),
(20, 385),
(44, 830),
(78, 823),
(55, 691),
(45, 122),
(78, 391),
(66, 962),
(37, 983),
(23, 364),
(66, 548),
(25, 887),
(36, 360),
(72, 620),
(61, 554),
(62, 426),
(36, 411),
(71, 98),
(22, 168),
(27, 109),
(43, 153),
(50, 180),
(37, 893),
(46, 129),
(51, 375),
(60, 363),
(79, 809),
(23, 599),
(49, 969),
(21, 10),
(25, 752),
(60, 203),
(42, 340),
(45, 641),
(72, 336),
(73, 273),
(47, 266),
(51, 986),
(33, 883),
(39, 469),
(67, 858),
(51, 15),
(80, 816),
(50, 10),
(21, 763),
(69, 886),
(74, 10),
(63, 301),
(31, 6),
(62, 957),
(46, 463),
(28, 637),
(28, 391),
(33, 577),
(74, 470),
(54, 88),
(22, 845),
(35, 140),
(69, 994),
(74, 149),
(20, 110),
(49, 913),
(64, 898),
(73, 146),
(62, 349),
(64, 470),
(42, 876),
(29, 724),
(32, 371),
(21, 753),
(31, 607),
(32, 927),
(48, 95),
(57, 405),
(55, 139),
(37, 996),
(37, 552),
(75, 423),
(63, 19),
(48, 75),
(61, 1004),
(30, 238),
(27, 992),
(70, 752),
(38, 684),
(25, 956),
(35, 83),
(74, 706),
(58, 355),
(74, 743),
(40, 70),
(61, 931),
(66, 20),
(74, 711),
(61, 563),
(41, 827),
(54, 502),
(47, 793),
(46, 928),
(43, 307),
(79, 434),
(61, 102),
(77, 561),
(72, 273),
(25, 402),
(55, 20),
(76, 970),
(71, 49),
(59, 258),
(63, 286),
(23, 843),
(41, 102),
(63, 535),
(52, 388),
(75, 806),
(36, 245),
(74, 763),
(29, 991),
(50, 1020),
(33, 703),
(57, 271),
(53, 863),
(34, 71),
(67, 509),
(47, 559),
(65, 87),
(57, 916),
(43, 808),
(65, 91),
(65, 643),
(28, 519),
(22, 577),
(38, 816),
(38, 494),
(43, 242),
(44, 523),
(39, 213),
(21, 28),
(51, 32),
(26, 636),
(21, 330),
(42, 723),
(79, 956),
(40, 774),
(74, 279),
(72, 494),
(77, 260),
(42, 826),
(68, 630),
(34, 761),
(32, 969),
(33, 123),
(70, 8),
(74, 857),
(33, 178),
(38, 533),
(32, 931),
(78, 261),
(55, 594),
(77, 799),
(62, 206),
(37, 416),
(73, 429),
(48, 348),
(67, 541),
(30, 199),
(37, 455),
(29, 75),
(31, 92),
(70, 695),
(45, 698),
(48, 364),
(66, 963),
(37, 595),
(32, 37),
(51, 499),
(59, 624),
(26, 699),
(36, 997),
(47, 927),
(52, 122),
(45, 122),
(63, 735),
(58, 217),
(34, 207),
(22, 690),
(35, 902),
(20, 379),
(44, 883),
(78, 727),
(61, 26),
(51, 676),
(77, 21),
(64, 980),
(66, 394),
(62, 916),
(69, 1024),
(35, 235),
(51, 884),
(36, 619),
(77, 130),
(49, 904),
(61, 707),
(53, 287),
(49, 351),
(54, 52),
(41, 204),
(45, 640),
(37, 963),
(32, 493),
(62, 848),
(79, 430),
(44, 261),
(38, 878),
(54, 185),
(28, 1009),
(75, 552),
(32, 919),
(50, 480),
(54, 417),
(62, 24),
(23, 177),
(80, 651),
(45, 23),
(80, 92),
(50, 541),
(46, 226),
(75, 407),
(45, 100),
(57, 671),
(69, 522),
(34, 887),
(39, 33),
(37, 675),
(37, 184),
(74, 606),
(65, 994),
(72, 299),
(47, 237),
(37, 239),
(24, 124),
(39, 252),
(35, 189),
(38, 420),
(62, 428),
(36, 657),
(32, 466),
(50, 979),
(73, 902),
(56, 377),
(38, 371),
(74, 499),
(78, 404),
(80, 50),
(69, 846),
(73, 542),
(29, 518),
(74, 35),
(68, 688),
(79, 237),
(48, 909),
(43, 457),
(48, 593),
(22, 749),
(21, 955),
(54, 641),
(51, 1010),
(50, 317),
(26, 296),
(63, 185),
(79, 546),
(21, 17),
(37, 98),
(61, 356),
(64, 462),
(58, 4),
(31, 929),
(35, 84),
(63, 290),
(21, 654),
(35, 888),
(28, 589),
(26, 380),
(78, 503),
(70, 466),
(63, 846),
(49, 376),
(43, 26),
(53, 1030),
(60, 217),
(57, 312),
(47, 767),
(67, 315),
(33, 497),
(68, 662),
(38, 625),
(65, 753),
(56, 562),
(30, 512),
(80, 697),
(49, 626),
(47, 751),
(74, 974),
(51, 99),
(76, 84),
(42, 910),
(42, 811),
(57, 674),
(46, 555),
(60, 205),
(48, 564),
(29, 655),
(29, 262),
(55, 302),
(58, 833),
(77, 405),
(53, 972),
(54, 261),
(55, 225),
(20, 545),
(55, 372),
(48, 370),
(64, 681),
(24, 996),
(70, 817),
(64, 426),
(76, 248),
(24, 529),
(25, 913),
(41, 594),
(48, 228),
(45, 401),
(63, 772),
(72, 944),
(63, 298),
(65, 995),
(39, 686),
(59, 527),
(26, 395),
(44, 243),
(48, 510),
(70, 294),
(66, 559),
(44, 248),
(62, 123),
(21, 158),
(56, 724),
(42, 57),
(58, 680),
(64, 920),
(56, 126),
(50, 923),
(77, 841),
(20, 531),
(54, 97),
(59, 613),
(63, 423),
(68, 640),
(67, 91),
(48, 948),
(64, 700),
(42, 830),
(35, 475),
(70, 745),
(48, 364),
(24, 1000),
(24, 58),
(69, 913),
(75, 83),
(21, 41),
(56, 920),
(72, 146),
(74, 476),
(60, 123),
(79, 820),
(72, 748),
(27, 268),
(44, 1012),
(43, 639),
(33, 747),
(24, 854),
(66, 410),
(59, 675),
(58, 797),
(69, 845),
(57, 172),
(46, 94),
(67, 455),
(60, 204),
(67, 373),
(23, 290),
(56, 930),
(42, 472),
(22, 206),
(42, 52),
(64, 827),
(47, 957),
(39, 307),
(52, 116),
(26, 236),
(68, 419),
(29, 747),
(41, 689),
(67, 580),
(55, 701),
(25, 314),
(58, 677),
(70, 523),
(64, 743),
(22, 377),
(59, 260),
(40, 469),
(36, 346),
(46, 411),
(49, 442),
(64, 341),
(72, 722),
(76, 711),
(63, 73),
(60, 134),
(72, 787),
(20, 200),
(34, 544),
(69, 429),
(37, 10),
(27, 110),
(28, 72),
(37, 532),
(71, 380),
(63, 517),
(52, 1028),
(24, 681),
(53, 1030),
(50, 693),
(25, 831),
(75, 405),
(41, 54),
(39, 546),
(47, 235),
(49, 536),
(51, 782),
(61, 774),
(25, 674),
(41, 564),
(80, 134),
(58, 346),
(63, 635),
(51, 270),
(38, 476),
(41, 460),
(66, 15),
(40, 154),
(80, 962),
(58, 196),
(42, 498),
(32, 823),
(62, 666),
(80, 272),
(41, 787),
(48, 359),
(42, 476),
(37, 698),
(57, 712),
(36, 714),
(79, 2),
(37, 846),
(44, 61),
(69, 156),
(34, 976),
(34, 198),
(33, 584),
(49, 386),
(80, 24),
(55, 791),
(72, 859),
(71, 306),
(58, 375),
(38, 555),
(61, 391),
(75, 1019),
(22, 1006),
(42, 651),
(48, 477),
(56, 475),
(46, 256),
(32, 89),
(37, 402),
(25, 198),
(79, 654),
(43, 812),
(23, 20),
(61, 655),
(28, 956),
(53, 160),
(47, 853),
(58, 633),
(53, 202),
(23, 194),
(56, 450),
(32, 660),
(80, 799),
(24, 746),
(32, 807),
(79, 985),
(62, 35),
(76, 125),
(49, 214),
(33, 141),
(34, 384),
(52, 556),
(47, 167),
(45, 941),
(53, 651),
(36, 400),
(74, 158),
(22, 832),
(42, 817),
(36, 79),
(27, 613),
(55, 200),
(66, 45),
(27, 781),
(42, 355),
(54, 263),
(42, 650),
(59, 24),
(33, 740),
(52, 968),
(35, 819),
(44, 40),
(39, 62),
(63, 404),
(80, 33),
(36, 490),
(72, 982),
(62, 67),
(71, 675),
(74, 1),
(80, 796),
(39, 848),
(78, 323),
(56, 554),
(21, 280),
(34, 200),
(34, 1025),
(64, 432),
(79, 4),
(77, 761),
(36, 5),
(35, 50),
(72, 296),
(63, 276),
(23, 648),
(58, 777),
(75, 780),
(57, 229),
(68, 37),
(38, 18),
(71, 798),
(27, 538),
(59, 1002),
(69, 120),
(60, 974),
(41, 837),
(38, 202),
(25, 724),
(37, 828),
(42, 676),
(33, 70),
(47, 506),
(74, 384),
(39, 414),
(79, 996),
(63, 206),
(74, 743),
(36, 481),
(63, 541),
(75, 439),
(33, 166),
(31, 152),
(55, 204),
(69, 449),
(31, 478),
(24, 260),
(25, 359),
(32, 147),
(34, 343),
(71, 764),
(61, 508),
(73, 483),
(52, 802),
(76, 514),
(52, 2),
(78, 710),
(30, 870),
(74, 503),
(77, 730),
(55, 649),
(29, 571),
(29, 947),
(74, 676),
(66, 449),
(72, 599),
(53, 265),
(70, 986),
(64, 71),
(21, 396),
(29, 819),
(26, 158),
(55, 205),
(63, 53),
(30, 865),
(65, 492),
(79, 818),
(65, 161),
(57, 23),
(52, 475),
(26, 347),
(22, 473),
(34, 979),
(69, 195),
(20, 713),
(51, 269),
(26, 644),
(32, 300),
(70, 204),
(38, 69),
(38, 581),
(62, 1021),
(41, 734),
(45, 628),
(48, 864),
(48, 24),
(74, 309),
(25, 768),
(36, 133),
(70, 719),
(22, 981),
(54, 123),
(48, 951),
(75, 888),
(74, 871),
(31, 768),
(74, 901),
(31, 978),
(27, 476),
(76, 849),
(75, 497),
(48, 755),
(46, 728),
(69, 41),
(80, 581),
(46, 824),
(52, 245),
(73, 818),
(35, 312),
(60, 895),
(60, 6),
(30, 550),
(35, 1014),
(70, 774),
(24, 407),
(60, 273),
(78, 856),
(68, 483),
(41, 853),
(50, 887),
(41, 240),
(79, 815),
(32, 929),
(33, 322),
(80, 438),
(20, 684),
(74, 674),
(44, 303),
(23, 700),
(76, 703),
(78, 693),
(26, 294),
(35, 737),
(25, 50),
(55, 256),
(71, 870),
(51, 518),
(42, 531),
(22, 310),
(27, 412),
(22, 303),
(50, 435),
(58, 343),
(74, 775),
(35, 674),
(55, 530),
(72, 234),
(63, 561),
(70, 526),
(61, 338),
(32, 697),
(26, 699),
(37, 387),
(72, 1017),
(25, 989),
(73, 900),
(75, 165),
(21, 90),
(68, 324),
(76, 313),
(26, 717),
(35, 165),
(64, 135),
(44, 749),
(80, 394),
(66, 840),
(65, 827),
(74, 945),
(66, 666),
(66, 962),
(65, 390),
(54, 629),
(37, 41),
(33, 986),
(34, 692),
(31, 481),
(35, 625),
(38, 712),
(65, 741),
(71, 683),
(53, 736),
(41, 388),
(26, 622),
(25, 563),
(65, 403),
(72, 912),
(55, 497),
(64, 837),
(20, 136),
(37, 385),
(43, 308),
(38, 554),
(27, 378),
(49, 27),
(34, 104),
(50, 714),
(77, 433),
(70, 151),
(41, 701),
(55, 734),
(62, 913),
(26, 662),
(26, 526),
(76, 315),
(62, 758),
(75, 539),
(25, 794),
(60, 243),
(54, 789),
(51, 339),
(72, 1028),
(70, 612),
(75, 183),
(69, 747),
(47, 704),
(39, 528),
(72, 828),
(69, 912),
(66, 716),
(41, 284),
(36, 202),
(72, 503),
(34, 938),
(72, 216),
(59, 348),
(20, 952),
(32, 407),
(64, 54),
(72, 289),
(74, 762),
(52, 225),
(60, 687),
(67, 186),
(36, 694),
(70, 922),
(53, 154),
(36, 397),
(28, 317),
(57, 1022),
(66, 112),
(67, 943),
(23, 72),
(52, 284),
(21, 354),
(35, 19),
(20, 818),
(40, 353),
(39, 340),
(66, 123),
(30, 276),
(46, 422),
(49, 255),
(23, 792),
(67, 485),
(50, 324),
(80, 190),
(65, 597),
(63, 427),
(78, 4),
(21, 51),
(29, 711),
(30, 601),
(29, 646),
(66, 251),
(66, 883),
(29, 1013),
(70, 524),
(67, 629),
(39, 106),
(31, 493),
(30, 477),
(47, 826),
(67, 222),
(36, 682),
(21, 601),
(74, 314),
(60, 791),
(68, 837),
(78, 22),
(68, 128),
(51, 119),
(61, 598),
(20, 125),
(64, 847),
(39, 618),
(46, 859),
(73, 182),
(76, 250),
(31, 384),
(39, 817),
(57, 510),
(64, 246),
(25, 934),
(45, 246),
(45, 11),
(74, 848),
(41, 707),
(28, 539),
(65, 463),
(35, 809),
(59, 202),
(73, 927),
(79, 769),
(39, 366),
(24, 913),
(43, 96),
(72, 34),
(55, 735),
(55, 34),
(39, 984),
(37, 930),
(20, 312),
(67, 884),
(32, 702),
(24, 653),
(65, 943),
(45, 416),
(47, 603),
(29, 757),
(32, 490),
(48, 189),
(23, 516),
(24, 648),
(64, 811),
(74, 450),
(34, 421),
(52, 972),
(21, 777),
(41, 459),
(50, 292),
(75, 636),
(76, 186),
(22, 992),
(36, 915),
(50, 355),
(68, 30),
(48, 616),
(25, 392),
(22, 996),
(21, 768),
(49, 73),
(33, 305),
(62, 368),
(44, 590),
(45, 532),
(74, 921),
(37, 937),
(40, 855),
(22, 972),
(36, 7),
(72, 796),
(29, 901),
(29, 405),
(40, 1018),
(61, 382),
(26, 476),
(78, 431),
(37, 606),
(26, 758),
(71, 260),
(68, 845),
(63, 431),
(27, 96),
(45, 354),
(34, 292),
(53, 1010),
(50, 382),
(48, 984),
(22, 122),
(44, 50),
(73, 5),
(44, 645),
(33, 153),
(79, 605),
(47, 721),
(51, 421),
(36, 764),
(23, 974),
(67, 435),
(62, 714),
(27, 109),
(34, 181),
(70, 277),
(61, 131),
(53, 620),
(27, 430),
(45, 101),
(63, 776),
(80, 604),
(79, 461),
(60, 724),
(55, 535),
(52, 604),
(30, 691),
(20, 137),
(29, 705),
(48, 576),
(51, 90),
(80, 741),
(33, 890),
(29, 212),
(66, 171),
(34, 486),
(49, 586),
(37, 590),
(48, 710),
(75, 194),
(56, 1025),
(41, 118),
(49, 422),
(29, 142),
(26, 191),
(63, 46),
(35, 456),
(61, 85),
(45, 647),
(65, 966),
(32, 1005),
(80, 690),
(57, 608),
(63, 706),
(76, 801),
(27, 102),
(37, 329),
(21, 14),
(57, 424),
(67, 363),
(21, 793),
(77, 139),
(61, 497),
(72, 890),
(54, 786),
(53, 282),
(35, 422),
(62, 85),
(38, 976),
(56, 566),
(30, 408),
(56, 1025),
(33, 193),
(45, 939),
(36, 903),
(70, 352),
(77, 322),
(68, 955),
(38, 65),
(67, 583),
(67, 106),
(38, 541),
(55, 937),
(42, 391),
(55, 342),
(22, 153),
(30, 512),
(73, 321),
(53, 294),
(33, 47),
(33, 887),
(68, 350),
(64, 536),
(32, 375),
(47, 819),
(50, 193),
(37, 318),
(22, 21),
(53, 901),
(60, 834),
(54, 843),
(53, 899),
(34, 72),
(29, 62),
(67, 406),
(57, 1009),
(63, 529),
(21, 274),
(48, 288),
(47, 942),
(78, 921),
(53, 527),
(75, 666),
(65, 413),
(61, 404),
(44, 778),
(43, 610),
(75, 916),
(68, 112),
(71, 899),
(80, 137),
(21, 530),
(58, 572),
(75, 658),
(76, 50),
(23, 325),
(57, 764),
(42, 110),
(71, 882),
(75, 179),
(48, 587),
(54, 347),
(58, 159),
(31, 474),
(59, 358),
(55, 883),
(32, 472),
(73, 699),
(57, 171),
(40, 315),
(29, 33),
(58, 247),
(39, 538),
(72, 489),
(37, 498),
(75, 570),
(41, 277),
(71, 854),
(33, 350),
(29, 818),
(37, 935),
(55, 99),
(43, 389),
(69, 778),
(56, 620),
(61, 658),
(62, 200),
(80, 608),
(23, 117),
(73, 467),
(74, 110),
(38, 12),
(54, 239),
(59, 869),
(40, 685),
(48, 348),
(38, 979),
(26, 959),
(47, 1018),
(54, 540),
(45, 805),
(67, 393),
(80, 894),
(58, 341),
(70, 644),
(27, 58),
(40, 457),
(74, 769),
(45, 528),
(42, 852),
(71, 453),
(70, 179),
(20, 181),
(38, 364),
(22, 662),
(31, 457),
(72, 152),
(61, 110),
(43, 358),
(76, 344),
(57, 960),
(35, 816),
(50, 226),
(57, 464),
(42, 962),
(80, 819),
(38, 350),
(45, 872),
(48, 879),
(20, 909),
(66, 821),
(29, 27),
(45, 486),
(67, 131),
(73, 444),
(25, 43),
(78, 63),
(27, 984),
(22, 31),
(44, 1025),
(32, 729),
(63, 241),
(26, 377),
(37, 878),
(32, 751),
(77, 402),
(58, 669),
(52, 1001),
(61, 356),
(58, 936),
(28, 250),
(28, 613),
(71, 921),
(33, 83),
(39, 790),
(23, 437),
(28, 337),
(32, 751),
(59, 392),
(72, 729),
(34, 383),
(48, 398),
(70, 638),
(59, 526),
(72, 745),
(50, 616),
(54, 718),
(70, 16),
(70, 620),
(69, 68),
(74, 800),
(36, 855),
(39, 619),
(40, 527),
(80, 301),
(52, 775),
(43, 525),
(56, 152),
(58, 11),
(59, 510),
(32, 414),
(70, 19),
(64, 916),
(67, 243),
(53, 441),
(47, 345),
(22, 332),
(51, 878),
(27, 462),
(46, 536),
(53, 255),
(23, 99),
(31, 863),
(49, 120),
(57, 901),
(72, 253),
(75, 153),
(27, 794),
(56, 236),
(66, 630),
(70, 988),
(54, 162),
(76, 719),
(30, 756),
(55, 786),
(79, 813),
(44, 894),
(27, 730),
(69, 627),
(26, 272),
(32, 649),
(78, 818),
(30, 233),
(47, 936),
(45, 983),
(55, 973),
(40, 892),
(24, 757),
(61, 447),
(50, 399),
(30, 553),
(71, 905),
(38, 720),
(20, 63),
(61, 701),
(70, 118),
(23, 571),
(56, 500),
(30, 106),
(59, 67),
(33, 166),
(80, 946),
(65, 931),
(23, 370),
(52, 302),
(71, 98),
(47, 516),
(73, 376),
(79, 36),
(38, 934),
(42, 211),
(44, 599),
(22, 303),
(57, 100),
(28, 714),
(64, 668),
(35, 393),
(61, 410),
(56, 17),
(38, 707),
(21, 799),
(62, 276),
(61, 719),
(38, 312),
(22, 414),
(57, 1013),
(25, 1023),
(34, 212),
(57, 119),
(58, 644),
(45, 439),
(30, 994),
(31, 416),
(30, 194),
(54, 442),
(24, 72),
(33, 768),
(79, 540),
(71, 971),
(45, 498),
(29, 532),
(34, 559),
(26, 23),
(78, 127),
(60, 457),
(50, 222),
(56, 927),
(66, 951),
(36, 1023),
(70, 770),
(51, 28),
(66, 883),
(53, 69),
(54, 263),
(56, 324),
(74, 888),
(56, 343),
(76, 377),
(64, 746),
(38, 326),
(78, 707),
(77, 247),
(34, 475),
(21, 512),
(68, 236),
(67, 123),
(71, 952),
(32, 630),
(50, 366),
(25, 663),
(70, 943),
(33, 726),
(61, 848),
(59, 476),
(26, 720),
(80, 3),
(38, 1022),
(71, 803),
(70, 592),
(72, 868),
(42, 10),
(47, 590),
(79, 129),
(36, 799),
(61, 400),
(69, 986),
(38, 630),
(49, 799),
(41, 855),
(65, 919),
(28, 813),
(73, 903),
(68, 1022),
(24, 494),
(27, 128),
(67, 147),
(26, 652),
(63, 618),
(73, 689),
(49, 145),
(54, 332),
(31, 29),
(66, 848),
(27, 72),
(34, 483),
(62, 698),
(41, 278),
(71, 74),
(73, 784),
(40, 148),
(59, 570),
(72, 100),
(56, 1015),
(25, 476),
(66, 972),
(78, 6),
(80, 53),
(78, 710),
(73, 2),
(56, 594),
(69, 618),
(27, 632),
(40, 518),
(27, 987),
(70, 94),
(34, 327),
(40, 817),
(21, 1007),
(68, 971),
(45, 27),
(35, 904),
(28, 336),
(51, 620),
(45, 509),
(62, 893),
(76, 95),
(26, 375),
(56, 575),
(57, 849),
(50, 544),
(75, 531),
(71, 70),
(71, 320),
(66, 664),
(32, 320),
(54, 156),
(35, 561),
(57, 606),
(41, 553),
(46, 42),
(44, 959),
(80, 312),
(32, 40),
(73, 956),
(41, 882),
(75, 924),
(29, 997),
(47, 666),
(80, 615),
(77, 819),
(25, 1024),
(75, 61),
(49, 924),
(49, 748),
(33, 604),
(46, 174),
(71, 887),
(60, 137),
(43, 22),
(24, 341),
(46, 11),
(72, 635),
(77, 750),
(59, 43),
(61, 321),
(29, 615),
(35, 848),
(74, 788),
(26, 436),
(26, 582),
(72, 15),
(37, 858),
(64, 274),
(44, 372),
(35, 463),
(28, 981),
(26, 147),
(31, 341),
(65, 238),
(49, 121),
(76, 76),
(67, 495),
(66, 454),
(78, 1018),
(78, 38),
(37, 221),
(74, 114),
(38, 462),
(59, 22),
(35, 522),
(24, 1011),
(37, 487),
(61, 743),
(24, 99),
(25, 439),
(80, 290),
(20, 989),
(57, 268),
(30, 922),
(63, 443),
(74, 249),
(55, 559),
(34, 670),
(43, 918),
(31, 742),
(25, 854),
(77, 991),
(68, 274),
(42, 411),
(39, 680),
(26, 205),
(55, 476),
(67, 762),
(47, 21),
(67, 509),
(32, 1023),
(53, 46),
(49, 560),
(59, 336),
(26, 367),
(33, 125),
(77, 772),
(36, 804),
(47, 399),
(76, 412),
(58, 586),
(49, 855),
(48, 418),
(56, 757),
(37, 505),
(21, 412),
(28, 261),
(29, 805),
(71, 394),
(78, 764),
(51, 634),
(43, 898),
(26, 106),
(50, 101),
(38, 747),
(70, 167),
(46, 883),
(34, 624),
(33, 19),
(39, 246),
(27, 385),
(54, 716),
(49, 345),
(29, 440),
(42, 426),
(76, 985),
(44, 544),
(34, 192),
(28, 418),
(62, 15),
(46, 32),
(74, 204),
(24, 197),
(44, 565),
(73, 697),
(53, 797),
(21, 362),
(50, 19),
(58, 71),
(22, 532),
(33, 701),
(35, 649),
(55, 352),
(77, 487),
(24, 247),
(34, 512),
(24, 651),
(77, 891),
(31, 691),
(31, 565),
(76, 247),
(64, 32),
(63, 340),
(29, 414),
(36, 42),
(30, 882),
(80, 699),
(61, 835),
(66, 792),
(38, 529),
(21, 487),
(35, 394),
(31, 703),
(46, 159),
(53, 321),
(57, 513),
(75, 707),
(57, 604),
(55, 1030),
(61, 357),
(63, 396),
(61, 476),
(28, 904),
(42, 960),
(65, 1027),
(27, 17),
(25, 903),
(26, 476),
(72, 594),
(60, 518),
(66, 810),
(37, 681),
(22, 34),
(55, 130),
(60, 212),
(80, 491),
(56, 282),
(46, 397),
(43, 808),
(37, 556),
(22, 671),
(24, 882),
(62, 597),
(27, 684),
(28, 849),
(69, 371),
(22, 855),
(34, 317),
(79, 781),
(28, 961),
(46, 142),
(59, 236),
(78, 386),
(31, 679),
(20, 332),
(55, 112),
(45, 1024),
(26, 851),
(53, 714),
(32, 200),
(52, 103),
(55, 37),
(37, 82),
(64, 787),
(63, 648),
(55, 426),
(52, 474),
(37, 554),
(64, 131),
(29, 790),
(25, 383),
(63, 614),
(70, 602),
(50, 1030),
(42, 961),
(64, 725),
(49, 831),
(29, 997),
(63, 1010),
(62, 21),
(23, 601),
(31, 545),
(23, 260),
(60, 769),
(25, 571),
(42, 288),
(70, 921),
(61, 201),
(64, 403),
(63, 755),
(77, 1019),
(32, 572),
(36, 268),
(72, 675),
(74, 315),
(42, 443),
(67, 815),
(36, 379),
(77, 995),
(54, 424),
(48, 734),
(20, 949),
(37, 567),
(78, 697),
(79, 758),
(53, 863),
(32, 73),
(38, 415),
(70, 464),
(40, 52),
(67, 154),
(21, 134),
(39, 724),
(78, 158),
(66, 631),
(65, 820),
(78, 154),
(40, 884),
(46, 188),
(33, 820),
(51, 377),
(34, 705),
(26, 215),
(58, 390),
(55, 229),
(56, 881),
(64, 834),
(46, 931),
(51, 264),
(23, 234),
(80, 236),
(64, 461),
(46, 328),
(71, 937),
(57, 933),
(71, 144),
(47, 663),
(54, 584),
(39, 25),
(37, 32),
(27, 23),
(75, 728),
(39, 19),
(26, 437),
(68, 69),
(36, 246),
(65, 997),
(20, 999),
(77, 97),
(75, 347),
(54, 128),
(39, 814),
(45, 95),
(24, 377),
(28, 436),
(35, 914),
(49, 64),
(80, 186),
(26, 219),
(27, 412),
(69, 1030),
(54, 845),
(56, 985),
(51, 677),
(38, 122),
(31, 950),
(77, 794),
(32, 481),
(48, 815),
(32, 805),
(37, 557),
(54, 577),
(41, 317),
(31, 234),
(59, 680),
(50, 349),
(70, 977),
(61, 864),
(70, 403),
(46, 666),
(24, 596),
(74, 931),
(54, 424),
(66, 497),
(54, 105),
(67, 629),
(66, 325),
(54, 209),
(61, 527),
(68, 417),
(66, 39),
(79, 85),
(74, 848),
(28, 601),
(38, 432),
(79, 801),
(69, 1024),
(54, 26),
(61, 271),
(55, 168),
(42, 605),
(64, 544),
(62, 485),
(44, 793),
(32, 611),
(38, 294),
(78, 555),
(25, 710),
(48, 950),
(76, 260),
(74, 240),
(64, 888),
(58, 810),
(72, 739),
(59, 980),
(51, 197),
(44, 487),
(59, 324),
(53, 11),
(53, 735),
(64, 905),
(68, 628),
(45, 523),
(69, 1018),
(45, 816),
(54, 792),
(67, 702),
(54, 584),
(74, 627),
(30, 469),
(46, 472),
(49, 883),
(24, 844),
(75, 780),
(53, 78),
(55, 713),
(22, 253),
(36, 759),
(25, 370),
(75, 974),
(51, 875),
(75, 519),
(40, 51),
(27, 89),
(51, 177),
(57, 327),
(31, 442),
(35, 48),
(64, 330),
(44, 870),
(30, 549),
(28, 659),
(35, 173),
(73, 307),
(33, 981),
(43, 147),
(24, 1009),
(77, 899),
(52, 173),
(55, 617),
(30, 738),
(62, 920),
(20, 612),
(39, 608),
(27, 143),
(22, 538),
(75, 670),
(21, 426),
(70, 86),
(47, 992),
(71, 410),
(28, 721),
(61, 838),
(31, 694),
(52, 1003),
(29, 46),
(67, 988),
(32, 167),
(30, 45),
(29, 690),
(41, 289),
(68, 395),
(49, 26),
(32, 871),
(39, 497),
(52, 586),
(51, 348),
(34, 953),
(77, 633),
(78, 821),
(22, 717),
(29, 519),
(29, 972),
(49, 5),
(41, 917),
(25, 219),
(31, 645),
(67, 511),
(75, 497),
(28, 62),
(20, 744),
(40, 245),
(49, 109),
(50, 425),
(70, 983),
(79, 118),
(24, 559),
(26, 19),
(39, 319),
(58, 837),
(50, 912),
(69, 967),
(74, 585),
(78, 347),
(69, 753),
(71, 421),
